"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-03-19",,"81",,"65"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-03-20",,"80",,"68"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-03-21",,"80",,"69"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-03-22",,"81",,"65"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-03-23",,"87",,"70"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-03-24",,"89",,"71"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-03-25",,"92",,"72"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-03-26",,"89",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-03-27",,"84",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-03-28",,"84",,"73"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-03-29",,"85",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-03-30",,"83",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-03-31",,"84",,
"IN012070800","BOMBAY SANTACRUZ, IN","2019-04-01",,"82",,"71"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-04-02",,"82",,"70"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-04-03",,"85",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-04-04",,"84",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-04-05",,"85",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-04-06",,"85",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-04-07",,"85",,"73"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-04-08",,"85",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-04-09",,"85",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-04-10",,"84",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-04-11",,"85",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-04-12",,"85",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-04-13",,"88",,"73"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-04-14",,"87",,"75"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-04-15",,"86",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-04-16",,"86",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-04-17",,"85",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-04-18",,"85",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-04-19",,"87",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-04-20",,"85",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-04-21",,"84",,
"IN012070800","BOMBAY SANTACRUZ, IN","2019-04-22",,"85",,"73"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-04-23",,"86",,
"IN012070800","BOMBAY SANTACRUZ, IN","2019-04-24",,"86",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-04-25",,"88",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-04-26",,"89",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-04-27",,"90",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-04-28",,"89",,"83"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-04-29",,"87",,
"IN012070800","BOMBAY SANTACRUZ, IN","2019-04-30",,"86",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-05-01",,"85",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-05-02",,"85",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-05-03",,"85",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-05-04",,"86",,"81"
